,bust_chest_girth,waist_girth,hip_girth,thigh_girth,upper_arm_girth,neck_girth,neck_waist,repetition,gender,measures_station,subject
0,996.65380859375,820.85498046875,1057.345703125,671.8527221679688,330.58404541015625,327.5303649902344,416.60943603515625,1,female,Our,IEEEP1_05
1,993.82177734375,806.7514038085938,1058.061767578125,678.9318237304688,329.17510986328125,328.28338623046875,411.9693603515625,2,female,Our,IEEEP1_05
2,830.7650756835938,682.9407958984375,933.6224975585938,546.5668334960938,264.3039245605469,290.6326904296875,393.8179931640625,1,female,Our,IEEEP1_12
3,837.037841796875,671.8201904296875,925.4857177734375,551.3092651367188,270.9926452636719,290.5676574707031,395.99072265625,2,female,Our,IEEEP1_12
4,954.022705078125,743.654296875,1013.2980346679688,616.1387939453125,296.6654052734375,323.88848876953125,404.75738525390625,1,female,Our,IEEEP1_13
5,950.9793701171875,756.7896728515625,1020.0047607421875,617.2763061523438,297.927734375,319.7570495605469,410.2700500488281,2,female,Our,IEEEP1_13
6,1106.83056640625,972.6077270507812,1057.7677001953125,658.2525634765625,338.5691833496094,354.65875244140625,439.3733215332031,1,female,Our,IEEEP1_14
7,1116.0640869140625,962.8056640625,1046.6412353515625,661.2411499023438,335.450439453125,347.88677978515625,435.88330078125,2,female,Our,IEEEP1_14
8,910.6380615234375,791.401611328125,967.637451171875,546.6498413085938,274.146240234375,314.4708557128906,415.7431335449219,1,female,Our,IEEEP1_19
9,927.4689331054688,781.9674682617188,976.3616333007812,554.8517456054688,274.3365478515625,316.5402526855469,411.6270446777344,2,female,Our,IEEEP1_19
10,1422.804443359375,1268.2685546875,1237.5916748046875,728.159912109375,415.9833068847656,440.38885498046875,464.1918640136719,1,female,Our,IEEEP1_21
11,1416.021484375,1276.1475830078125,1249.8787841796875,755.1888427734375,401.8493347167969,430.3887634277344,469.66046142578125,2,female,Our,IEEEP1_21
12,890.935546875,738.778076171875,949.987060546875,558.9832763671875,288.2702941894531,304.9964294433594,386.19012451171875,1,female,Our,IEEEP1_23
13,893.6868286132812,726.3238525390625,941.6151123046875,556.0586547851562,278.0587158203125,303.0790710449219,387.22607421875,2,female,Our,IEEEP1_23
14,900.7174682617188,765.954833984375,1022.7918701171875,622.0475463867188,302.98406982421875,329.14715576171875,407.26483154296875,1,female,Our,IEEEP1_24
15,902.4000244140625,754.99462890625,1016.7069091796875,620.19921875,303.2061462402344,330.9057922363281,404.9203186035156,2,female,Our,IEEEP1_24
16,1191.81201171875,1123.158935546875,1328.337646484375,813.4681396484375,471.98931884765625,425.1725769042969,444.348876953125,1,female,Our,IEEEP1_27
17,1188.4661865234375,1084.5802001953125,1307.7430419921875,820.4447021484375,456.53271484375,438.40240478515625,441.35931396484375,2,female,Our,IEEEP1_27
18,926.1395874023438,690.595703125,959.493408203125,576.68408203125,278.1468505859375,326.2051696777344,436.9628601074219,1,female,Our,IEEEP1_28
19,928.0691528320312,687.53076171875,951.0697021484375,574.639404296875,278.3710021972656,321.29388427734375,423.149658203125,2,female,Our,IEEEP1_28
20,976.3792724609375,884.3633422851562,1050.4478759765625,657.6549072265625,312.9592590332031,356.8441467285156,489.5809326171875,1,female,Our,IEEEP1_29
21,962.809814453125,873.1112670898438,1076.2147216796875,647.5841064453125,313.6202392578125,362.20550537109375,475.5345458984375,2,female,Our,IEEEP1_29
22,1098.3212890625,871.5819091796875,1044.143310546875,607.611328125,331.9827880859375,336.6898193359375,434.5881652832031,1,female,Our,IEEEP1_30
23,1089.931884765625,905.6182861328125,1045.5579833984375,605.86376953125,333.0455017089844,336.948486328125,440.3071594238281,2,female,Our,IEEEP1_30
24,1212.2802734375,1087.201904296875,1197.968994140625,711.347412109375,329.02410888671875,375.294677734375,445.36602783203125,1,female,Our,IEEEP1_32
25,1211.6871337890625,1090.006591796875,1207.160888671875,714.0564575195312,331.45733642578125,389.976806640625,455.598388671875,2,female,Our,IEEEP1_32
26,908.612548828125,685.7522583007812,881.4373168945312,535.9285888671875,241.3514404296875,351.43780517578125,406.4209289550781,1,female,Our,IEEEP1_33
27,909.34423828125,685.9069213867188,883.7581787109375,530.6054077148438,256.81378173828125,360.181396484375,413.3759765625,2,female,Our,IEEEP1_33
28,876.9756469726562,717.4130859375,920.8492431640625,543.0071411132812,272.7606506347656,306.9856262207031,381.5286560058594,1,female,Our,IEEEP1_34
29,889.5899047851562,730.2786865234375,939.4135131835938,539.7418212890625,281.2833251953125,314.72314453125,381.07879638671875,2,female,Our,IEEEP1_34
30,900.0086059570312,775.6832885742188,994.925048828125,630.2405395507812,277.2413330078125,341.72418212890625,412.14892578125,1,female,Our,IEEEP1_36
31,910.265869140625,786.816650390625,1006.52001953125,624.20947265625,297.7414245605469,354.9330139160156,422.099609375,2,female,Our,IEEEP1_36
32,1245.860595703125,1060.8955078125,1188.16796875,721.7509765625,368.7069091796875,393.0955505371094,433.71051025390625,1,female,Our,IEEEP1_38
33,1254.127685546875,1069.4951171875,1190.346435546875,733.7857666015625,360.526611328125,398.07000732421875,436.5700988769531,2,female,Our,IEEEP1_38
34,1142.466796875,1076.1937255859375,1156.4814453125,671.9739990234375,340.064697265625,359.0419921875,430.04974365234375,1,female,Our,IEEEP1_39
35,1129.085693359375,1064.875244140625,1180.925537109375,680.6035766601562,346.1518859863281,360.4147033691406,424.93255615234375,2,female,Our,IEEEP1_39
36,914.296142578125,733.3914794921875,960.439697265625,563.4785766601562,267.5615539550781,310.1679992675781,396.33453369140625,1,female,Our,IEEEP1_40
