,bust_chest_girth,waist_girth,hip_girth,thigh_girth,upper_arm_girth,neck_girth,neck_waist,repetition,gender,measures_station,subject
0,890.1028442382812,750.670166015625,1049.499755859375,628.4324951171875,292.7411193847656,325.1929016113281,418.2110900878906,1,female,Our,IEEEP2_01
1,895.1892700195312,753.2613525390625,1051.5220947265625,625.3455810546875,294.4383544921875,326.7433166503906,426.1292724609375,2,female,Our,IEEEP2_01
2,903.2455444335938,682.9147338867188,947.7871704101562,538.5803833007812,274.5513916015625,314.705322265625,417.1366882324219,1,female,Our,IEEEP2_03
3,886.251953125,664.9443969726562,951.8662109375,537.9811401367188,274.6493225097656,316.2833251953125,414.1067199707031,2,female,Our,IEEEP2_03
4,1098.2611083984375,981.1307373046875,1141.172607421875,673.19091796875,343.8843994140625,369.4900207519531,431.90753173828125,1,female,Our,IEEEP2_07
5,1104.67236328125,975.0405883789062,1144.0281982421875,666.06396484375,343.3934020996094,369.474853515625,426.2243957519531,2,female,Our,IEEEP2_07
6,1016.905517578125,928.6947631835938,1215.922119140625,727.48828125,338.75994873046875,346.72808837890625,447.25299072265625,1,female,Our,IEEEP2_08
7,1024.9677734375,934.69677734375,1218.38330078125,728.7200927734375,339.75439453125,346.69921875,455.916748046875,2,female,Our,IEEEP2_08
8,1012.226318359375,815.5919799804688,1077.4158935546875,636.4271240234375,305.72430419921875,330.1187744140625,405.89654541015625,1,female,Our,IEEEP2_09
9,1013.1823120117188,815.2228393554688,1068.4388427734375,631.928466796875,300.6784362792969,324.10040283203125,407.1178894042969,2,female,Our,IEEEP2_09
10,913.5022583007812,788.11572265625,1079.3551025390625,635.8893432617188,299.6481018066406,325.58026123046875,439.79425048828125,1,female,Our,IEEEP2_10
11,909.1519165039062,772.123291015625,1081.49755859375,640.2823486328125,299.1011047363281,326.56597900390625,438.5905456542969,2,female,Our,IEEEP2_10
12,1090.646240234375,965.3473510742188,1125.7139892578125,676.28466796875,325.32354736328125,368.4611511230469,428.5502624511719,1,female,Our,IEEEP2_13
13,1100.76806640625,1006.11328125,1134.058837890625,674.712158203125,323.8031311035156,369.8522644042969,435.8074645996094,2,female,Our,IEEEP2_13
14,1119.3070068359375,998.29541015625,1132.477783203125,682.9230346679688,366.95123291015625,393.07867431640625,410.1119689941406,1,female,Our,IEEEP2_16
15,1114.1771240234375,996.1671142578125,1132.3846435546875,686.4120483398438,364.69158935546875,395.5740661621094,413.60693359375,2,female,Our,IEEEP2_16
16,889.8324584960938,697.3079833984375,959.1242065429688,563.4376831054688,273.8366394042969,328.69183349609375,399.72149658203125,1,female,Our,IEEEP2_17
17,877.0803833007812,707.1548461914062,952.5421752929688,561.6176147460938,271.57586669921875,334.3496398925781,399.65069580078125,2,female,Our,IEEEP2_17
18,1029.234375,871.364013671875,1036.5289306640625,614.4524536132812,306.98199462890625,354.4998474121094,424.5233154296875,1,female,Our,IEEEP2_18
19,1031.3602294921875,868.6597290039062,1037.037109375,613.646484375,308.9857177734375,347.9703369140625,428.9254455566406,2,female,Our,IEEEP2_18
20,953.1930541992188,798.8463745117188,1091.7254638671875,663.2885131835938,328.9875793457031,324.8923034667969,411.00299072265625,1,female,Our,IEEEP2_21
21,956.9906005859375,799.1683349609375,1090.98486328125,659.9737548828125,328.51739501953125,322.4945068359375,405.8243408203125,2,female,Our,IEEEP2_21
22,1181.327392578125,1087.91796875,1327.83984375,780.0386962890625,415.3895568847656,392.19970703125,441.6932373046875,1,female,Our,IEEEP2_24
23,1174.8399658203125,1093.39404296875,1322.09912109375,777.008056640625,413.9043884277344,395.082275390625,445.750732421875,2,female,Our,IEEEP2_24
24,908.7597045898438,745.0250244140625,946.2525634765625,561.2296142578125,270.04986572265625,308.1955261230469,407.86370849609375,1,female,Our,IEEEP2_25
25,914.4223022460938,749.7689819335938,946.07421875,559.8656616210938,273.1307373046875,309.0753479003906,407.29998779296875,2,female,Our,IEEEP2_25
26,917.1509399414062,747.6409912109375,1005.499267578125,612.484619140625,312.45098876953125,315.1403503417969,434.82867431640625,1,female,Our,IEEEP2_26
27,911.588134765625,748.8712158203125,1009.1417236328125,611.0789794921875,312.867919921875,313.4907531738281,430.44976806640625,2,female,Our,IEEEP2_26
28,1083.9521484375,894.6819458007812,1070.7144775390625,621.228759765625,344.41015625,351.58599853515625,425.97515869140625,1,female,Our,IEEEP2_30
29,1082.641357421875,891.4962768554688,1071.4808349609375,617.0112915039062,347.5326232910156,350.5926818847656,429.67926025390625,2,female,Our,IEEEP2_30
30,847.3006591796875,760.4987182617188,970.0617065429688,556.1109619140625,283.3248291015625,306.7845764160156,400.1882629394531,1,female,Our,IEEEP2_31
31,846.2667846679688,768.7402954101562,963.006103515625,554.2123413085938,284.6548767089844,305.38568115234375,398.73760986328125,2,female,Our,IEEEP2_31
32,997.2603759765625,1013.7161865234375,1098.2806396484375,602.978271484375,317.64154052734375,344.6543884277344,395.52587890625,1,female,Our,IEEEP2_35
33,1002.0730590820312,1020.8306274414062,1090.3458251953125,592.5260009765625,315.7613525390625,342.60040283203125,401.8441162109375,2,female,Our,IEEEP2_35
34,831.680419921875,673.5498046875,927.5509033203125,560.334228515625,273.7337951660156,300.1141662597656,408.3951110839844,1,female,Our,IEEEP2_36
35,818.1476440429688,674.3468017578125,922.0691528320312,559.3854370117188,273.4252624511719,301.317626953125,405.04864501953125,2,female,Our,IEEEP2_36
36,1152.9505615234375,1087.853515625,1299.66015625,833.5952758789062,371.505126953125,361.7956237792969,448.8586730957031,1,female,Our,IEEEP2_38
