,0,1,2,3,4,5,6,7,8,9
0,0.032453183,0.032453183,0.032453183,0.032453183,0.032453183,0.032453183,0.032453183,0.032453183,0.032453183,0.032453183
1,0.030636346,0.030636344,0.03063634,0.030636344,0.030636344,0.030636344,0.030636344,0.030636344,0.03063634,0.030636344
2,0.028715521,0.028715521,0.028715521,0.028715521,0.028715521,0.028715521,0.028715523,0.028715523,0.028715521,0.028715525
3,0.027072718,0.027072717,0.027072717,0.027072718,0.027072713,0.027072717,0.027072717,0.027072718,0.027072718,0.027072717
4,0.025469387,0.025469389,0.025469387,0.025469385,0.025469387,0.025469387,0.025469387,0.025469385,0.025469389,0.025469385
5,0.023822498,0.0238225,0.023822498,0.023822492,0.02382249,0.023822498,0.023822494,0.0238225,0.023822494,0.023822498
6,0.022280155,0.022280151,0.022280158,0.02228016,0.022280158,0.022280155,0.022280162,0.022280151,0.022280158,0.02228016
7,0.020864353,0.020864353,0.02086436,0.020864349,0.020864354,0.020864353,0.02086436,0.02086435,0.020864328,0.020864358
8,0.01946902,0.019469025,0.019469047,0.019469019,0.019469013,0.019469019,0.019469045,0.01946902,0.019469023,0.019469025
9,0.018032953,0.01803295,0.018032946,0.018032951,0.01803295,0.018032953,0.018032951,0.018032951,0.018032987,0.018032962
10,0.016611151,0.01661115,0.016611129,0.016611142,0.016611138,0.016611148,0.016611133,0.016611148,0.016611155,0.016611151
11,0.015284253,0.015284255,0.015284255,0.015284257,0.015284258,0.015284258,0.0152842505,0.015284257,0.015284239,0.015284263
12,0.014072115,0.014072112,0.014072122,0.014072114,0.01407211,0.01407211,0.014072129,0.014072114,0.014072112,0.014072115
13,0.01293439,0.012934396,0.01293442,0.012934386,0.012934392,0.012934389,0.012934429,0.012934386,0.012934395,0.012934392
14,0.011830736,0.011830744,0.011830753,0.011830719,0.011830731,0.011830733,0.011830755,0.011830719,0.011830713,0.011830743
15,0.010763289,0.010763291,0.010763276,0.010763261,0.010763283,0.010763278,0.01076328,0.010763252,0.010763201,0.010763301
16,0.009753123,0.009753137,0.009753099,0.00975309,0.009753117,0.0097531155,0.009753104,0.0097530745,0.00975298,0.009753145
