Measuring station manager;Measuring station;Processor;Processing date;Subject;Phase;repetition no.;Neck girth;Back neck point to waist;Upper arm girth R;Upper arm girth L;Back neck point to wrist R;Back neck point to wrist L;Across back shoulder width;Bust girth;Waist girth;Hip girth;Thigh girth R;Thigh girth L;Total crotch length;Inside leg height;Lowaist;error
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_05;1;1;335;375;315;;790;;430;920;800;1065;675;;810;730;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_05;1;2;345;370;310;;760;;405;925;810;965;655;;790;725;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_12;1;1;325;380;250;;750;;420;780;630;920;495;;695;740;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_12;1;2;305;385;260;;740;;420;805;640;920;520;;690;755;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_13;1;1;355;375;285;;755;;405;880;720;1000;560;;800;770;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_13;1;2;355;375;280;;745;;390;860;715;1010;595;;815;760;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_14;1;1;390;380;315;;785;;430;1055;945;1040;630;;855;755;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_14;1;2;380;375;305;;770;;435;1055;950;1035;620;;820;750;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_15;1;1;400;425;340;;845;;460;990;890;1030;570;;915;735;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_15;1;2;405;445;340;;840;;505;985;910;1055;600;;865;750;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_17;1;1;420;470;355;;870;;455;1090;1045;1115;630;;900;760;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_17;1;2;430;460;350;;890;;440;1090;1030;1115;660;;925;780;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_18;1;1;380;410;315;;715;;430;890;765;990;600;;800;685;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_18;1;2;380;415;320;;730;;425;870;780;1010;580;;795;685;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_19;1;1;325;380;260;;770;;400;865;730;960;530;;735;835;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_19;1;2;345;355;260;;785;;385;860;745;955;535;;735;840;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_20;1;1;390;460;315;;860;;;960;960;1020;575;;805;840;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_20;1;2;385;445;315;;825;;435;990;960;1030;575;;800;830;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_21;1;1;415;390;370;;770;;395;1340;1095;1325;740;;880;760;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_21;1;2;415;390;390;;750;;425;1370;1210;1320;735;;860;755;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_22;1;1;375;415;325;;815;;485;990;900;1065;610;;825;730;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_22;1;2;380;400;325;;800;;470;995;895;1050;635;;855;730;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_23;1;1;320;350;275;;715;;390;810;690;945;535;;680;715;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_23;1;2;335;330;270;;700;;385;810;690;915;545;;690;720;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_24;1;1;;;;;;;;;;;;;;;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_24;1;2;;;;;;;;;;;;;;;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_25;1;1;420;465;355;;900;;445;1060;975;1090;660;;850;840;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_25;1;2;435;455;350;;880;;435;1040;960;1090;660;;860;850;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_26;1;1;375;430;390;;780;;420;1140;1075;1210;725;;850;735;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_26;1;2;370;430;390;;825;;440;1150;1055;1220;755;;870;730;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_27;1;1;400;400;435;;820;;445;1140;1065;1385;740;;960;690;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_27;1;2;405;400;430;;820;;460;1135;1080;1355;740;;935;710;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_28;1;1;315;410;270;;740;;375;870;740;970;550;;645;750;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_28;1;2;310;390;280;;750;;390;865;695;965;540;;675;765;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_29;1;1;350;400;305;;825;;455;930;855;1060;640;;780;870;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_29;1;2;355;400;310;;830;;460;930;860;1060;650;;775;870;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_30;1;1;330;405;327.5;;745;;425;1010;870;1045;610;;730;715;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_30;1;2;330;395;320;;745;;395;1035;880;1020;630;;740;725;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_31;1;1;390;470;310;;850;;460;1040;950;990;580;;775;770;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_31;1;2;390;450;315;;850;;455;1035;955;990;565;;795;775;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_32;1;1;390;430;320;;790;;445;1150;1065;1200;685;;770;720;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_32;1;2;395;440;325;;790;;430;1135;1110;1215;710;;760;710;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_33;1;1;325;415;245;;755;;385;840;685;885;515;;680;830;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_33;1;2;320;395;245;;765;;380;820;660;880;510;;695;830;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_34;1;1;320;355;265;;705;;390;840;720;930;550;;680;720;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_34;1;2;320;360;260;;715;;380;840;730;935;552.5;;680;705;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_35;1;1;500;395;345;;800;;450;1140;1070;1085;635;;900;705;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_35;1;2;500;375;345;;800;;480;1130;1075;1090;620;;900;690;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_36;1;1;;;;;;;;;;;;;;;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_36;1;2;;;;;;;;;;;;;;;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_37;1;1;;;;;;;;;;;;;;;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_37;1;2;;;;;;;;;;;;;;;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_38;1;1;395;430;335;;790;;435;1150;1055;1205;730;;775;705;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_38;1;2;400;435;345;;785;;430;1155;1065;1225;745;;775;700;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_39;1;1;350;375;335;;790;;405;1095;1050;1175;670;;745;765;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_39;1;2;335;375;335;;790;;405;1085;1045;1165;705;;765;775;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_40;1;1;320;385;270;;755;;395;900;790;975;565;;625;740;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_40;1;2;315;385;270;;750;;395;895;755;965;560;;635;735;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_41;1;1;320;415;290;;770;;400;810;800;1065;655;;665;760;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_41;1;2;315;420;300;;775;;395;815;780;1065;640;;715;750;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_42;1;1;350;410;300;;750;;405;1020;870;1055;620;;775;710;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_42;1;2;340;400;295;;765;;425;1030;900;1080;620;;720;710;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_43;1;1;305;370;215;;760;;395;770;670;865;470;;660;740;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_43;1;2;310;380;215;;760;;410;780;670;890;495;;660;740;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_44;1;1;340;390;285;;735;;405;885;735;985;560;;740;725;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_44;1;2;330;420;270;;740;;405;870;795;995;575;;690;720;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_45;1;1;370;440;280;;810;;430;920;770;905;520;;735;750;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_45;1;2;355;435;280;;805;;425;920;810;890;510;;700;760;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_47;1;1;385;410;290;;820;;435;915;850;935;525;;795;760;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_47;1;2;390;420;290;;815;;450;910;850;950;540;;780;755;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_48;1;1;390;430;350;;830;;415;1000;810;940;570;;800;730;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_48;1;2;390;430;350;;840;;440;990;815;950;570;;700;730;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_49;1;1;370;440;280;;810;;430;920;770;905;520;;735;750;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_49;1;2;355;435;280;;805;;425;920;810;890;510;;700;760;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_50;1;1;310;355;260;;695;;375;805;750;940;535;;632.5;710;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_50;1;2;302.5;360;270;;675;;375;805;745;922.5;540;;620;705;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_51;1;1;380;390;300;;815;;485;1060;935;1060;620;;720;840;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_51;1;2;390;415;300;;805;;470;1005;915;1060;612.5;;705;830;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_52;1;1;335;365;230;;745;;412.5;785;710;805;430;;670;720;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_52;1;2;340;365;240;;745;;420;790;715;805;425;;650;740;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_53;1;1;317.5;405;260;;730;;410;805;780;950;540;;640;730;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_53;1;2;335;395;275;;740;;387.5;800;795;955;555;;650;720;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_54;1;1;355;380;325;;780;;420;965;870;1130;690;;790;745;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_54;1;2;360;355;325;;785;;420;970;835;1125;695;;840;750;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_55;1;1;390;405;340;;810;;495;955;830;1030;640;;740;750;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_55;1;2;395;395;335;;800;;485;945;825;1045;635;;870;750;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_56;1;1;400;400;305;;815;;465;1025;885;970;540;;750;750;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_56;1;2;405;392.5;305;;830;;480;1020;880;940;520;;755;750;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_57;1;1;455;385;415;;800;;450;1220;1200;1185;665;;980;770;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_57;1;2;465;420;400;;840;;460;1225;1190;1205;705;;955;755;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_58;1;1;;;;;;;;;;;;;;;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_58;1;2;;;;;;;;;;;;;;;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_59;1;1;330;402.5;275;;790;;425;920;815;995;575;;725;820;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_59;1;2;335;430;280;;820;;430;925;815;1050;590;;715;815;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_73;1;1;;;;;;;;;;;;;;;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_73;1;2;;;;;;;;;;;;;;;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_74;1;1;310;400;285;;720;;375;835;755;990;600;;745;715;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_74;1;2;310;415;285;;710;;370;830;760;1040;610;;730;710;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_75;1;1;305;395;260;;700;;400;805;705;885;515;;630;720;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_75;1;2;305;390;270;;700;;405;800;710;890;520;;620;710;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_76;1;1;340;375;365;;730;;425;1005;880;1175;710;;760;710;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_76;1;2;350;370;365;;740;;435;1005;885;1170;705;;770;720;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_77;1;1;310;390;285;;790;;395;840;750;985;585;;710;785;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_77;1;2;315;415;285;;790;;395;845;775;1005;585;;660;780;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_78;1;1;340;395;270;;760;;420;960;890;1060;630;;740;840;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_78;1;2;340;375;280;;775;;425;955;930;1055;640;;720;835;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_79;1;1;380;397.5;312.5;;840;;460;945;925;980;570;;780;805;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_79;1;2;375;405;315;;845;;452.5;955;920;980;570;;785;805;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_84;1;1;365;380;335;;790;;425;1105;1040;1165;685;;830;780;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_84;1;2;370;400;335;;820;;435;1160;1045;1165;675;;860;780;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_86;1;1;350;430;295;;745;;370;895;890;1100;640;;760;780;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_86;1;2;340;420;300;;750;;375;890;892.5;1090;645;;760;780;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_87;1;1;395;460;355;;855;;460;935;800;970;552.5;;760;820;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_87;1;2;390;475;355;;855;;465;955;805;965;560;;735;820;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_88;1;1;310;410;285;;720;;385;850;750;1020;590;;660;725;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_88;1;2;310;415;280;;740;;385;840;770;1025;580;;620;730;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_89;1;1;420;410;355;;845;;460;1170;1095;1115;680;;930;790;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_89;1;2;430;422.5;375;;855;;470;1170;1095;1120;665;;910;840;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_90;1;1;335;410;290;;775;;395;1010;850;965;575;;690;720;;
Expert measurer 1;Expert measurer 1;;20181130;IEEEP1_90;1;2;340;445;300;;765;;400;1000;865;960;570;;670;720;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_05;1;1;340;405;312.5;;755;;395;955;847.5;1050;670;;735;715;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_05;1;2;330;410;310;;745;;402.5;960;865;1065;675;;735;715;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_12;1;1;297.5;405;242.5;;740;;400;800;680;910;525;;680;730;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_12;1;2;310;390;230;;740;;375;815;675;920;525;;680;710;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_13;1;1;340;435;280;;762.5;;405;915;740;995;590;;740;755;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_13;1;2;342.5;425;285;;750;;405;900;755;1015;615;;715;775;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_14;1;1;390;405;305;;790;;400;1080;950;1050;660;;765;755;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_14;1;2;380;405;305;;790;;415;1070;970;1050;675;;730;755;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_15;1;1;395;435;337.5;;810;;485;1010;910;1025;635;;840;750;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_15;1;2;390;465;330;;800;;480;1015;920;1040;615;;820;745;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_17;1;1;407.5;465;340;;860;;445;1110;1050;1100;640;;880;800;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_17;1;2;407.5;450;342.5;;860;;445;1085;1060;1110;660;;900;795;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_18;1;1;375;420;310;;720;;430;950;820;1000;600;;740;690;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_18;1;2;380;422.5;310;;720;;435;935;815;1010;600;;770;695;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_19;1;1;325;400;262.5;;775;;382.5;890;765;945;545;;680;820;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_19;1;2;325;415;252.5;;780;;395;890;770;930;540;;670;822.5;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_20;1;1;392.5;450;305;;825;;435;1015;985;1040;565;;755;840;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_20;1;2;390;450;325;;825;;435;1030;985;1030;600;;805;845;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_21;1;1;422.5;415;390;;760;;395;1375;1265;1320;755;;835;755;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_21;1;2;425;410;390;;770;;405;1380;1250;1315;730;;885;760;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_22;1;1;380;400;315;;820;;490;1050;905;1040;610;;825;740;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_22;1;2;375;390;320;;830;;485;1040;890;1040;625;;845;745;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_23;1;1;320;350;250;;695;;347.5;840;725;940;545;;660;695;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_23;1;2;320;365;250;;730;;380;835;720;920;570;;665;695;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_24;1;1;310;410;305;;710;;360;865;740;1005;625;;730;725;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_24;1;2;310;410;300;;710;;370;875;760;1010;620;;715;725;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_25;1;1;417.5;450;350;;850;;432.5;1072.5;972.5;1070;667.5;;765;860;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_25;1;2;410;430;347.5;;840;;440;1072.5;935;1065;675;;802.5;855;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_26;1;1;362.5;430;390;;770;;405;1140;1075;1220;765;;782.5;715;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_26;1;2;370;412.5;390;;782.5;;400;1122.5;1055;1215;730;;780;720;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_27;1;1;400;370;430;;775;;410;1185;1070;1385;775;;935;670;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_27;1;2;402.5;465;440;;775;;420;1140;1080;1360;775;;945;680;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_28;1;1;307.5;380;250;;730;;380;880;680;960;540;;670;760;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_28;1;2;302.5;382.5;270;;715;;372.5;880;685;955;535;;670;760;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_29;1;1;347.5;415;305;;810;;440;982.5;850;1062.5;650;;725;865;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_29;1;2;347.5;405;305;;810;;430;965;850;1060;655;;765;860;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_30;1;1;340;420;292.5;;725;;385;1062.5;860;1047.5;597.5;;715;720;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_30;1;2;335;435;305;;725;;377.5;1060;870;1040;595;;715;715;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_31;1;1;375;442.5;305;;815;;445;1060;930;970;575;;750;777.5;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_31;1;2;385;455;300;;790;;440;1050;920;975;570;;755;780;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_32;1;1;387.5;425;315;;760;;400;1187.5;1057.5;1190;730;;760;740;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_32;1;2;400;420;310;;765;;415;1175;1075;1175;720;;765;745;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_33;1;1;315;412.5;242.5;;750;;380;840;680;875;502.5;;650;830;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_33;1;2;315;415;245;;750;;370;835;680;870;515;;640;830;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_34;1;1;315;362.5;262.5;;690;;370;845;720;945;550;;640;705;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_34;1;2;315;347.5;262.5;;675;;382.5;847.5;722.5;930;550;;655;705;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_35;1;1;490;385;325;;755;;460;1145;1077.5;1070;645;;855;715;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_35;1;2;485;385;325;;760;;452.5;1150;1070;1075;635;;870;710;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_36;1;1;345;425;265;;765;;410;867.5;765;1000;625;;700;795;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_36;1;2;352.5;412.5;270;;770;;420;870;760;990;620;;700;785;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_37;1;1;385;420;330;;850;;470;1085;995;1040;635;;755;810;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_37;1;2;405;445;340;;875;;495;1095;1000;1065;625;;770;800;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_38;1;1;380;395;332.5;;755;;430;1170;1040;1190;725;;800;690;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_38;1;2;412.5;400;342.5;;745;;412.5;1225;1045;1195;740;;792.5;690;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_39;1;1;350;370;327.5;;755;;390;1100;1040;1155;670;;750;765;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_39;1;2;330;362.5;330;;770;;390;1115;1035;1160;700;;730;755;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_40;1;1;310;370;257.5;;715;;390;910;732.5;960;575;;640;750;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_40;1;2;320;365;260;;715;;395;905;732.5;965;570;;660;750;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_41;1;1;315;405;292.5;;770;;390;852.5;755;1065;652.5;;725;750;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_41;1;2;310;410;295;;735;;390;835;740;1050;670;;735;725;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_42;1;1;340;380;290;;750;;405;970;880;1070;640;;780;730;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_42;1;2;340;400;285;;745;;405;1065;850;1072.5;630;;677.5;725;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_43;1;1;302.5;390;212.5;;730;;380;785;662.5;890;502.5;;635;735;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_43;1;2;297.5;375;212.5;;745;;390;782.5;645;885;505;;660;740;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_44;1;1;332.5;410;277.5;;720;;422.5;920;775;977.5;580;;685;705;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_44;1;2;327.5;415;280;;720;;410;937.5;775;987.5;590;;675;702.5;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_45;1;1;355;437.5;287.5;;770;;410;955;800;900;525;;715;795;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_45;1;2;355;415;285;;762.5;;400;940;775;902.5;530;;750;795;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_47;1;1;370;397.5;277.5;;795;;450;952.5;835;940;537.5;;790;770;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_47;1;2;377.5;410;280;;805;;450;950;845;945;545;;755;790;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_48;1;1;385;420;340;;775;;432.5;1000;820;937.5;580;;675;735;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_48;1;2;387.5;417.5;350;;775;;425;1000;810;935;575;;712.5;725;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_49;1;1;355;437.5;287.5;;770;;410;955;800;900;525;;715;795;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_49;1;2;355;415;285;;762.5;;400;940;775;902.5;530;;750;795;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_50;1;1;310;382.5;260;;690;;365;815;737.5;930;540;;610;705;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_50;1;2;310;365;267.5;;670;;345;812.5;710;935;530;;650;710;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_51;1;1;372.5;410;290;;810;;467.5;1055;927.5;1050;580;;705;850;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_51;1;2;372.5;415;290;;805;;465;1065;907.5;1040;590;;720;835;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_52;1;1;335;390;220;;730;;402.5;792.5;700;805;420;;615;740;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_52;1;2;340;380;220;;740;;400;790;695;810;430;;630;740;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_53;1;1;325;380;262.5;;720;;362.5;820;770;940;540;;650;710;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_53;1;2;322.5;380;255;;710;;362.5;820;770;940;545;;655;710;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_54;1;1;350;375;320;;765;;400;990;850;1100;680;;765;750;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_54;1;2;350;370;320;;760;;355;995;835;1130;700;;795;740;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_55;1;1;395;375;332.5;;795;;457.5;970;825;1020;640;;750;755;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_55;1;2;395;375;332.5;;790;;465;965;815;990;640;;795;745;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_56;1;1;395;400;290;;792.5;;450;1020;880;952.5;555;;710;750;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_56;1;2;395;400;302.5;;790;;460;1020;885;955;550;;790;755;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_57;1;1;450;405;365;;775;;415;1240;1160;1165;735;;885;750;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_57;1;2;455;415;370;;785;;445;1240;1180;1165;725;;880;770;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_58;1;1;347.5;420;290;;775;;415;915;765;1002.5;577.5;;675;805;;
Expert measurer 2;Expert measurer 2;;20181130;IEEEP1_58;1;2;347.5;420;287.5;;775;;390;900;765;1002.5;567.5;;675;802.5;;
